,project_Name,category_name,funding_period_start,funding_period_end,no_days,starter_location,currency,money_pledged,goal,no_backers
8726,Yogamania - Notebook made for yogis,Design,Oct 11 2018,Nov 10 2018,30,"Hong Kong, Hong Kong",HK$,56204,45200,72
8727,SportHacks Bag | The Most Functional Sports Bag Ever!,Product Design,May 29 2018,Jun 28 2018,30,"Stuttgart, Germany",€,42077,25000,342
8728,Quickstarter: Dog-Eared Shelf,Product Design,Jun 18 2018,Jul 8 2018,20,"London, UK",£,1562,1000,55
8729,Pico - Craft Beer at Home,Product Design,Oct 26 2015,Dec 1 2015,35,"Seattle, WA",$,1403359,200000,1898
8730,REDEFINING LUXURY WATCHES by Gentleman Warfare,Product Design,Oct 17 2016,Dec 1 2016,45,"Los Angeles, CA",$,94570,10000,324
8731,Fabula Storytelling Cards,Graphic Design,Sep 28 2016,Oct 28 2016,30,"Turin, Italy",€,5882,1500,289
8732,Plant Lover / Lotus Lamps / Made in Paris,Product Design,Jan 22 2017,Mar 23 2017,60,"Paris, France",€,2307,2000,25
8733,OMG Jellyfish,Product Design,Jun 5 2013,Jul 5 2013,30,"San Francisco, CA",$,41196,25000,309
8734,POINTER,Product Design,May 23 2015,Jun 22 2015,30,"Amsterdam, Netherlands",€,15350,15000,170
8735,"WINKPENS - Write with Wine, Juice or Tea. Get Creative.",Product Design,Apr 27 2015,Jun 1 2015,34,"Portland, OR",$,62062,47000,850
8736,The CushPad – A Pillow for Your iPad!,Product Design,Apr 18 2012,Jun 2 2012,45,"Chicago, IL",$,10611,10000,171
8737,Pearl™: Compact Mirror + USB Rechargeable Battery Pack,Product Design,Nov 10 2014,Dec 17 2014,36,"San Francisco, CA",$,34768,30000,688
8738,BOLDR Journey Chronograph,Product Design,May 18 2016,Jul 2 2016,45,"Singapore, Singapore",CA$,108629,25000,456
8739,ROMEER | TIME BUILT TO PERFECTION,Product Design,Oct 11 2017,Nov 15 2017,35,"Brooklyn, NY",$,38549,14000,123
8740,ARRIVAL - Bluetooth Speaker - Naturally Clear,Product Design,May 7 2018,Jul 2 2018,56,"Brussels, Belgium",€,20179,20000,98
8741,MagLOCK Bike Pedal - Safe & Easy Way to Clip in to Your Bike,Product Design,Jul 14 2015,Aug 3 2015,20,"Salt Lake City, UT",$,38879,12000,265
8742,Beetle Killed Longboards,Product Design,Jul 17 2015,Aug 16 2015,30,"Salt Lake City, UT",SEK,71405,70000,37
8743,iClip - the World's most ultimate magnetic wire organizer,Product Design,Dec 20 2016,Jan 19 2017,30,"North Port, FL",$,27103,5000,677
8744,Digitally Remastered Patent Print Series,Graphic Design,Jan 9 2017,Feb 7 2017,29,"Dallas, TX",$,9807,1000,231
8745,Tollo:Gym and Travel Duffle! The Bag that Doesn't Smell!,Product Design,Jan 3 2017,Feb 2 2017,30,"Manchester, NH",$,6975,5000,46
8746,"SOLIDteknics Wokin Aussie iron: healthy, tough, light, life+",Design,Feb 28 2017,Apr 26 2017,57,"Buderim, AU",AU$,115708,20000,309
8747,Handy Bag- advanced wheelchair bags & wheelchair backpacks,Product Design,Nov 15 2016,Dec 20 2016,35,"New York, NY",$,22818,20000,261
8748,Unreasonable Shackles,Product Design,Jul 26 2019,Aug 25 2019,30,"Las Vegas, NV",$,5438,3000,165
8749,Lumus Ring: Laser Luminance Technology,Product Design,Feb 4 2016,Mar 7 2016,32,"Port Canaveral, FL",$,15584,12000,145
8750,NIK: re-imagining the simple desk,Product Design,May 2 2016,Jun 1 2016,29,"Los Angeles, CA",$,80337,27800,274
8751,EDC Bowie Knife,Product Design,Jan 25 2016,Feb 24 2016,30,"Houston, TX",$,4076,1000,26
8752,Custom Map Prints,Graphic Design,Nov 27 2017,Dec 27 2017,30,"London, UK",£,2508,500,54
8753,Uuni Stack - A clever way to prove dough & store ingredients,Product Design,Oct 1 2014,Oct 31 2014,30,"London, UK",£,18112,7500,511
8754,The CORE Nano Adventure Wallet,Product Design,Jun 11 2015,Jul 11 2015,29,"Huntington Beach, CA",$,39100,7777,885
8755,The Breton Weekender,Product Design,Nov 22 2016,Dec 24 2016,31,"Springville, UT",$,74278,40000,355
8756,Top Gift For Fisherman for 2017!,Product Design,Apr 28 2017,May 28 2017,30,"Olathe, KS",$,15498,15000,66
8757,Bomber | An All-Around Badass Everyday Watch,Product Design,Apr 19 2018,Jun 14 2018,56,"Montreal, Canada",$,330147,15000,1329
8758,Ideebebe : THE Baby Products That Give Parents Peace of Mind,Product Design,Oct 23 2018,Dec 12 2018,50,"Newport Beach, CA",$,5194,5000,80
8759,HAMMER: sport straps for Pebble Time,Product Design,Jun 3 2015,Jul 3 2015,30,"Portland, OR",$,42823,10000,1462
8760,Witch Merit Badges,Product Design,Aug 13 2018,Sep 12 2018,30,"Fair Lawn, NJ",$,3216,550,88
8761,CedarCraft | Elevated Planters made from Rescued Cedar,Product Design,Dec 6 2015,Dec 17 2015,11,"San Diego, CA",$,2520,1000,23
8762,Yogacycled - from waste to wear - eco-friendly yoga leggings,Product Design,Mar 8 2017,Apr 9 2017,32,"Paris, France",€,15129,15000,65
8763,Elevation Wallet,Design,Nov 1 2016,Dec 1 2016,30,"Denver, CO",$,4092,1000,212
8764,World's First $60 Magnetic Snow Goggle,Product Design,Aug 3 2016,Aug 23 2016,20,"Bellevue, WA",$,5231,500,95
8765,MYO Magnets,Product Design,Mar 22 2018,Apr 23 2018,32,"Charlotte, NC",$,27389,5000,460
8766,"Levitatr: A keyboard with elevating keys for iPad, Tablets",Product Design,Sep 9 2011,Oct 24 2011,45,"Dayton, OH",$,67570,60000,638
8767,Fidget Astrosphere (Handmade)- Relieve Your Stress & Focus,Product Design,Feb 28 2017,Apr 29 2017,60,"Hong Kong, Hong Kong",HK$,17962,10000,104
8768,Ventila: A NEW VENTILATION FAN For Backpacks & More,Product Design,Sep 13 2017,Nov 1 2017,49,"Hong Kong, Hong Kong",HK$,29734,20000,88
8769,Snapback Slim 3.0 Wallet,Product Design,Sep 5 2017,Oct 6 2017,30,"Tampa, FL",$,3360,2500,104
8770,"The Somnox Sleep Robot - Sleep well, live well",Product Design,Nov 14 2017,Dec 14 2017,30,"Delft, Netherlands",€,200274,100000,509
8771,mcSquares | Think & Collaborate Better In Any Space,Product Design,Sep 22 2017,Oct 31 2017,30,"Denver, CO",$,20556,20000,132
8772,Morsel Spork,Product Design,Mar 19 2018,Apr 21 2018,32,"Portland, OR",$,159059,20000,5341
8773,Essence | COSC-certified Swiss Made Automatic Watch,Product Design,Sep 25 2018,Oct 25 2018,30,"Biel Bienne, Switzerland",CHF,371723,50000,579
8774,FOSH | High Quality Watches without the Luxury Markup,Product Design,Sep 5 2018,Oct 5 2018,29,"Toronto, Canada",CA$,21019,15000,109
8775,"Soundesk, Stylish Table With Surround Sound Speaker",Product Design,Apr 25 2019,May 25 2019,30,"Hong Kong, Hong Kong",$,13357,10000,15
8776,Jord All Purpose Cleaner - 100% Biodegradable & 100% Organic,Product Design,Apr 29 2020,May 29 2020,30,"Melbourne, AU",AU$,5165,5100,51
8777,Elmos: The smallest carry-on air purifier,Design,Oct 1 2014,Oct 31 2014,30,"Shenzhen, China",$,5056,2000,73
8778,B. Sprout 2000 - Cutting Board,Product Design,Dec 15 2015,Jan 15 2016,31,"Brooklyn, NY",$,5857,2500,198
8779,Middle Ages! 3D models for 3D printer,Graphic Design,May 6 2019,Jun 5 2019,30,"New York, NY",$,403,400,10
8780,Oasis | Wall Mounted Micro Bar for Spirits + Accessories,Product Design,Feb 4 2020,Feb 28 2020,24,"Chicago, IL",$,13347,4500,133
8781,Raven Defender Wrist Watch,Product Design,Oct 15 2015,Nov 14 2015,30,"Stilwell, KS",$,102209,50000,236
8782,STIKBOX - the first selfie stick case for iPhone and Samsung,Product Design,Dec 17 2015,Jan 26 2016,40,"Jerusalem, Israel",£,34970,33000,929
8783,The Spyder 360™ | Full Body Training Unlike Anything Else,Product Design,Jan 24 2017,Mar 17 2017,52,"Nashville, TN",$,43932,20000,425
8784,Bicycle® TATTOO Golden Edition Playing Cards,Design,Feb 28 2014,Mar 31 2014,31,"Toronto, Canada",CA$,15331,8000,501
8785,"The GO! Hammock: Amazingly Comfortable, Durable & Portable",Design,Apr 14 2015,Jun 13 2015,60,"South Florida, FL",$,39288,15000,338
8786,Way Back When - full grain leather pen case,Product Design,Sep 19 2018,Oct 19 2018,30,"Copenhagen, Denmark",DKK,69395,43000,115
8787,"EDC Tops | Manually machined in Joshua Tree, Ca",Product Design,Apr 22 2014,May 22 2014,30,"Joshua Tree, CA",$,61112,3500,760
8788,A beach cruiser finally designed to survive beach bike life.,Product Design,Mar 15 2016,Apr 15 2016,31,"New York, NY",$,150015,30000,310
8789,LittleHammer. The spring-loaded impact nut tool for climbers,Product Design,Sep 2 2015,Oct 2 2015,30,"Castlemaine, AU",AU$,14341,9000,129
8790,"Cook your steak live at the table, exactly as you like.",Product Design,Aug 28 2014,Sep 21 2014,23,"London, UK",£,19413,6000,153
8791,Throttle Opener RELAUNCH:Magnetic One-Handed Bottle Opener,Product Design,Nov 15 2016,Dec 18 2016,33,"Chicago, IL",$,7968,4000,251
8792,Fair Change - The World's First Parenting Coins,Product Design,Sep 12 2016,Oct 1 2016,19,"Portsmouth, NH",$,3264,2900,64
8793,Nomad Lightning Cable for iPhone 5 & iPad mini,Product Design,Nov 19 2012,Dec 19 2012,30,"Chicago, IL",$,39475,29000,1648
8794,+ POOL,Civic Design,Jun 12 2013,Jul 12 2013,30,"Brooklyn, NY",$,273114,250000,3175
8795,Magnetic Dice of Curiously Strong Attraction,Interactive Design,Mar 12 2015,Apr 11 2015,30,"Maple Valley, WA",$,3796,1000,94
8796,Hemel - Classic Military Watches for the Modern Gentleman,Product Design,Mar 28 2016,Apr 27 2016,30,"New York, NY",$,42044,41000,153
8797,Unleashed IDs Integrated Leash & Dog Tag,Product Design,May 15 2017,Jun 24 2017,40,"Livermore, CA",$,30492,30000,126
8798,Tyroze: 3 in 1 Premium Urban Bag With Lifetime Guarantee,Product Design,Oct 6 2016,Nov 5 2016,30,"Maidenhead, UK",£,2524,800,23
8799,LitPix: Turn Your Mobile Photos into a Lamp of Modern Art,Product Design,Apr 1 2017,May 8 2017,36,"New York, NY",$,20336,20000,129
8800,Cork Traveller - sustainable wool and cork shoes - Doghammer,Product Design,May 21 2019,Jun 29 2019,38,"Rosenheim, Germany",€,24656,8000,198
8801,Hyge: Biodegradable Wipes on a Roll.,Product Design,Dec 24 2018,Feb 7 2019,45,"Grand Rapids, MI",$,42447,40000,189
8802,The Spyder 360™ | Full Body Training Unlike Anything Else,Product Design,Jan 24 2017,Mar 17 2017,52,"Nashville, TN",$,43932,20000,425
8803,Approach Notebook System,Product Design,Sep 7 2017,Oct 8 2017,31,"Seoul, South Korea",$,26086,10000,582
8804,CARBONITE - Carbon Fiber Duffel Bag & Luggage Set by Bastion,Product Design,Mar 6 2018,Apr 17 2018,42,"Atlanta, GA",$,15185,5000,46
8805,GROWING GREETINGS: send original greeting cards that grow!,Product Design,Mar 21 2018,May 3 2018,42,"Copenhagen, Denmark",DKK,53251,50000,169
8806,LUNITHE - Neo vintage monobloc & biomimicry EYEWEAR,Product Design,Mar 13 2018,Apr 27 2018,45,"Paris, France",€,11672,9000,71
8807,TIMES SQ. The Highest Quality Watch For Under £100,Design,Oct 23 2018,Nov 17 2018,25,"London, UK",£,1882,1000,20
8808,The Book of Pop Out Earrings,Product Design,Apr 30 2019,May 30 2019,30,"San Francisco, CA",$,17755,5000,545
8809,The OCO Dopp Kit | Your Last Toiletry Bag,Product Design,Jun 27 2017,Aug 26 2017,60,"Toronto, Canada",CA$,28977,10000,821
8810,GOVO: The Most Functional and Durable Badge Holder & Wallet,Product Design,Aug 9 2017,Oct 8 2017,60,"Solon, OH",$,152964,11000,3525
8811,"TiLiner - Sleek, simple everyday use fountain pen",Product Design,Mar 19 2018,Apr 18 2018,30,"Tucson, AZ",$,30634,4000,530
8812,Animal Stackers - A New Kind of Building Block,Product Design,Jun 20 2013,Jul 20 2013,30,"San Francisco, CA",$,70620,42000,1069
8813,The Kitchen Safe: The time lock safe that puts you in charge,Product Design,Jun 5 2013,Jul 20 2013,45,"San Francisco, CA",$,41991,30000,779
8814,It's up to you how to use it!,Product Design,Sep 15 2016,Oct 16 2016,31,"Klagenfurt, Austria",€,115113,60000,160
8815,FLIPEN - A foldable pen combining writing and bookmarking.,Product Design,Jun 19 2017,Jul 19 2017,30,"Hong Kong, Hong Kong",HK$,73678,70000,124
8816,Imperial Spherificator: Transforming Your Food Into Caviar,Product Design,Jul 22 2015,Aug 21 2015,30,"Montreal, Canada",CA$,191408,80000,1099
8817,Shower Shimmy,Product Design,Jan 5 2015,Feb 17 2015,43,"Denver, CO",$,27827,5000,1012
8818,Wash My Paws: Mobile Dog Grooming,Product Design,Nov 2 2019,Dec 9 2019,37,"Minnetonka, MN",$,10125,10000,83
8819,Luxreaders | Stylish blue light glasses,Design,Apr 14 2020,May 14 2020,30,"Copenhagen, Denmark",DKK,10000,10000,22
8820,Square Dish,Product Design,Jan 26 2017,Feb 9 2017,14,"Konstanz, Germany",€,2818,1000,22
8821,"Lever+ Bike Tool, by Townie Syndicate",Product Design,Oct 17 2013,Nov 12 2013,26,"Kansas City, MO",$,9712,8000,443
8822,OLAF scooters put a spin on your usual commuting experience,Product Design,Sep 23 2014,Oct 23 2014,30,"Ljubljana, Slovenia",CA$,61132,30000,276
8823,ICENI FOUNTAIN PEN | LIMITED EDITION,Design,Mar 20 2019,Apr 24 2019,35,"London, UK",£,11313,750,305
8824,Practical Magic Activation Deck: Become Your Own Life Coach,Product Design,Apr 22 2018,May 24 2018,32,"Worthing, UK",£,17246,15000,221
8825,5.6mm Clutch Pencil Handmade in Ebony By Nicholas Hemingway,Product Design,Jan 15 2019,Feb 15 2019,31,"London, UK",£,19270,250,341
8826,Tree Top Sac by Kletterwald USA - High Ropes Course,Architecture,Apr 5 2018,May 5 2018,30,"West Sacramento, CA",$,50565,50000,57
8827,Pompeak Watches: Not just a pretty face,Product Design,Mar 6 2019,Apr 5 2019,30,"Bristol, UK",£,10436,10000,82
8828,The Getaway Bag: All-Weather Duffle for Travel & Sport,Product Design,Jan 27 2017,Feb 27 2017,30,"San Francisco, CA",$,39112,1000,339
8829,"Create & Collaborate at THE UNIQUE SPACE, coming soon to LA!",Design,Jul 13 2013,Sep 11 2013,60,"Los Angeles, CA",$,114933,100000,468
8830,"Zodiac Coins: Cosmic Wisdom, Small Enough to Fit in a Pocket",Product Design,Nov 8 2013,Dec 15 2013,37,"Fredericksburg, VA",$,2572,2000,106
8831,Fruitful Planner - Customizable Weekly Paper Planner,Product Design,Jan 30 2015,Mar 1 2015,30,"Fort Wayne, IN",$,4612,3300,128
8832,"CRONO - low maintenance, belt drive, lifestyle bicycle",Product Design,Apr 11 2017,May 14 2017,33,"Glasgow, UK",£,60124,20000,111
8833,The Lanier Briefcase By Nock Co.,Product Design,Sep 20 2016,Oct 20 2016,30,"Atlanta, GA",$,57643,35000,637
8834,The Alkin Model One Automatic Watch,Product Design,Mar 28 2018,Apr 29 2018,32,"Bristol, UK",£,41396,22000,211
8835,Surface Pen - Global update!,Product Design,Mar 29 2018,Apr 8 2018,10,"Springfield, MO",$,770,500,15
8836,The Bacrac: Outstanding innovation in Back Pain Relief,Product Design,Aug 1 2014,Sep 11 2014,41,"Cheltenham, UK",£,20601,15000,361
8837,Touchpoint 2.0: the Coolest and Smartest Leather Gloves,Product Design,Feb 24 2015,Apr 5 2015,40,"Toronto, Canada",CA$,18605,2000,234
8838,PID-Controlled Espresso Machine,Product Design,Dec 11 2011,Jan 20 2012,40,"Atlanta, GA",$,369569,20000,1546
8839,SelfieSpin360: 360 degree video selfies - Smartphone & GoPro,Product Design,Nov 20 2017,Dec 20 2017,30,"San Diego, CA",$,10030,10000,53
8840,Watches Powered by SOLAR & AUTO,Product Design,Jun 18 2017,Jul 4 2017,16,"Hong Kong, Hong Kong",HK$,132576,100000,89
8841,Keystone Zen,Product Design,Sep 6 2016,Oct 6 2016,29,"Singapore, Singapore",$,4831,3000,162
8842,UFO Lamp--Light Up Your Universe,Product Design,Oct 24 2017,Nov 25 2017,32,"Hong Kong, Hong Kong",HK$,63069,60000,46
8843,Dash 5.0 | The Fastest Wallet Around,Product Design,Oct 17 2017,Dec 16 2017,60,"San Francisco, CA",$,42021,5000,1565
8844,AUTOMATIC WATCH - LIMITED EDITION HEITIS OKEANOS BRONZE,Product Design,Sep 18 2019,Oct 18 2019,30,"Buffalo, NY",$,34849,30000,112
8845,Goals Planner and Journals 2020 - a set of pocket notebooks,Product Design,Sep 11 2019,Oct 20 2019,38,"Bristol, UK",£,172,100,18
8846,"First Carbon Fiber Detangle, Lift & Pick Comb, for Men+Women",Product Design,Sep 3 2019,Oct 1 2019,28,"Chicago, IL",$,5873,5000,183
8847,ONDA Cycle,Product Design,Apr 15 2013,May 5 2013,20,"San Diego, CA",$,46704,15000,140
8848,Gear-A-Biner,Design,Mar 8 2013,Apr 17 2013,40,"South Jordan, UT",$,6288,2000,171
8849,Ti2 TechLiner Pen,Product Design,Mar 31 2014,May 11 2014,40,"Honolulu, HI",$,55673,5000,665
8850,HAVOK | Disruptive Luxury Timepieces at $89,Product Design,Jan 22 2019,Mar 23 2019,60,"San Francisco, CA",$,76506,10000,617
8851,Kurgo K9 Rucksack™ - Carrier for Dogs & Cats,Product Design,Feb 8 2019,Mar 20 2019,40,"Burlington, VT",$,16465,15000,188
8852,Fire Water Survival AEGIS Pocket Survival Kit EDC,Product Design,May 3 2016,Jun 2 2016,30,"Monroe, GA",$,2317,1000,67
8853,Quarter Century Watch | The Best Swiss Watch Under $100,Product Design,Jul 18 2016,Sep 16 2016,60,"San Francisco, CA",$,269602,10000,2022
8854,SHIBUI the anatomically correct belt,Product Design,Mar 24 2015,Apr 25 2015,31,"Cluj-Napoca, Romania",$,11676,8000,152
8855,T H E   B L A C K   W I D O W,Graphic Design,May 20 2019,Jun 22 2019,32,"Stillwater, OK",$,1286,750,41
8856,aLoo - Save Breast Milk Through Backwash Prevention,Product Design,Jun 5 2017,Jul 7 2017,32,"Chicago, IL",$,21007,15000,257
8857,Day2Night - Convertible High Heel Shoes,Product Design,Apr 29 2011,Jul 28 2011,90,"Boston, MA",$,16506,15000,121
8858,ATELEIA Brass Pen and Leather Journal,Product Design,Sep 17 2014,Oct 17 2014,30,"Phoenix, AZ",$,15270,10000,185
8859,K-ADDICT,Design,Jun 11 2013,Jul 24 2013,43,"Naples, FL",$,46530,1228,1122
8860,Scratchy map - color your world with travelling,Graphic Design,Feb 10 2015,Apr 24 2015,73,"Zaporizhzhya, Ukraine",$,10870,5000,268
8861,FLIO - ultra slim & portable wooden laptop stand,Product Design,Nov 4 2014,Dec 7 2014,33,"Rotterdam, Netherlands",€,20754,19000,300
8862,The Dice Tool - Relaunch,Design,Aug 10 2016,Sep 11 2016,32,"Boston, MA",$,12012,7500,324
8863,EcoQube Frame: BEST vertical garden for veggies & succulents,Design,Mar 21 2017,May 12 2017,51,"San Diego, CA",$,148212,10000,2784
8864,DRZ_02 Automatic Swiss Made Watch by Direnzo watches,Product Design,Nov 12 2018,Dec 12 2018,29,"Geneva, Switzerland",CHF,129785,20000,242
8865,MADE FOR MOTION: EVERYDAY BACKPACK,Product Design,Oct 30 2018,Dec 2 2018,33,"Stockholm, Sweden",$,19633,10000,150
8866,LunchKitt - A Lunchbox That Caters For Your Lunchtime Needs,Product Design,Jun 7 2018,Jul 18 2018,41,"London, UK",£,9013,8000,107
8867,Modern Carry Premium Leather Card Holder with Elastic Band,Product Design,Jul 12 2017,Jul 23 2017,11,"Atlanta, GA",$,850,400,46
8868,Bip - a Revolutionary foldable seat,Product Design,Nov 13 2018,Dec 28 2018,45,"Carrara, Italy",€,36432,35000,433
8869,Pictar Pro | DSLR Your Smartphone.,Product Design,Oct 2 2018,Nov 21 2018,50,"New York, NY",$,348655,25000,2131
8870,Excellent Nixie Watch / ver. 1,Product Design,Aug 2 2018,Sep 6 2018,35,"Cherkassy, Ukraine",$,46763,3000,189
8871,TITAN - Titanium aviator sunglasses with changeable lenses,Product Design,Apr 4 2017,May 14 2017,40,"Halmstad, Sweden",SEK,458901,180000,525
8872,Colored Carbon Fiber Guitars | KLŌS Guitars,Product Design,Oct 12 2017,Nov 9 2017,28,"Salt Lake City, UT",$,109830,20000,180
8873,Whispering Imps® Playing Cards,Product Design,Jun 1 2013,Jun 30 2013,29,"Los Angeles, CA",$,34128,19775,961
8874,PLATINUM 78: SLIM-LINE WALLET / CARD HOLDER,Product Design,Jan 11 2019,Feb 10 2019,30,"Southampton, UK",£,3251,2500,62
8875,"CZUR Smart Notebook: Better Organization, Easy Sharing",Product Design,May 29 2019,Jun 28 2019,30,"Hong Kong, Hong Kong",HK$,93677,7800,358
8876,Carafé: A simple pour over coffee system for coffee lovers,Product Design,Aug 13 2019,Sep 27 2019,45,"Honolulu, HI",$,22803,6000,261
8877,Secūr: Re-Imagined Weighted Blankets + Fidget Therapy,Product Design,Jun 29 2019,Jul 31 2019,32,"New York, NY",$,14201,10000,95
8878,Flipside : A phone grip that gives you more,Product Design,Oct 29 2019,Dec 3 2019,35,"San Luis Obispo, CA",$,5546,5000,151
8879,"""Phonster"" is the greatest holster for your essential needs!",Product Design,Sep 8 2015,Oct 20 2015,42,"Odesa, Ukraine",$,84647,5000,767
8880,Paint That Cleans The Air In Your Home!,Design,Dec 4 2019,Jan 6 2020,33,"Boca Raton, FL",$,7276,5000,46
8881,OctoFit - The Ultimate Home Fitness Device & Workout Library,Product Design,Nov 14 2017,Dec 19 2017,34,"Portland, OR",$,18057,15000,68
8882,"Glamping & Outdoor Hospitality Retreat | San Diego, CA",Design,Mar 1 2019,Mar 31 2019,30,"San Diego, CA",$,27183,25000,83
8883,ATOM - COLORFUL SWISS AUTOMATIC WATCH ASSEMBLED IN PARIS,Product Design,May 23 2019,Jun 17 2019,25,"Paris, France",€,26744,26500,39
8884,HKED Nemo Automatic Dive Watch (EMG Collaboration),Product Design,Oct 15 2018,Oct 29 2018,14,"Grand Rapids, MI",$,10027,10000,25
8885,A watch designed to last a lifetime. Nanok by Hamtun Watches,Product Design,Oct 9 2018,Nov 8 2018,30,"Southampton, UK",£,40926,20000,137
8886,Oro - The world's first minimalist wallet for women,Product Design,Nov 19 2018,Dec 9 2018,20,"Vienna, Austria",€,1210,400,43
8887,The Chestor | by Vescari Watch co.,Product Design,Mar 27 2019,Apr 26 2019,30,"Roermond, Netherlands",€,14458,13250,60
8888,The 901 Collection - Made from salvaged Porsche 911’s,Design,Mar 31 2017,Apr 30 2017,30,"Copenhagen, Denmark",DKK,4075739,1400000,546
8889,100 Dropped Pendant Lights,Product Design,Jan 9 2017,Feb 8 2017,30,"Brooklyn, NY",$,10855,85,236
8890,"A chronograph watch designed by you, made by Revolo Watches",Product Design,Oct 26 2017,Nov 27 2017,32,"Amsterdam, Netherlands",€,30681,30000,67
8891,The Reverie GT - the driver's chronograph,Product Design,Nov 22 2017,Dec 25 2017,33,"Singapore, Singapore",S$,10701,5000,23
8892,"TiLiner - Sleek, simple everyday use fountain pen",Product Design,Mar 19 2018,Apr 18 2018,30,"Tucson, AZ",$,30634,4000,530
8893,Deep Blue Bag – An Ocean Friendly Urban Adventure Pack,Product Design,Nov 2 2017,Dec 26 2017,54,"San Francisco, CA",$,33010,17000,168
8894,The OCO Dopp Kit | Your Last Toiletry Bag,Product Design,Jun 27 2017,Aug 26 2017,60,"Toronto, Canada",CA$,28977,10000,821
8895,"The Toughest, Most Maniacally-Detailed Bolt Action EDC Pen",Product Design,Apr 4 2019,Apr 28 2019,24,"Sydney, AU",AU$,8113,8000,116
8896,Animal Stackers - A New Kind of Building Block,Product Design,Jun 20 2013,Jul 20 2013,30,"San Francisco, CA",$,70620,42000,1069
8897,The Kitchen Safe: The time lock safe that puts you in charge,Product Design,Jun 5 2013,Jul 20 2013,45,"San Francisco, CA",$,41991,30000,779
8898,THE BUTLER - home organizer,Design,Aug 20 2013,Sep 19 2013,30,"San Diego, CA",$,35224,25300,298
8899,microstove,Product Design,Sep 14 2014,Oct 14 2014,30,"Plymouth, UK",£,1340,500,79
8900,Shower Shimmy,Product Design,Jan 5 2015,Feb 17 2015,43,"Denver, CO",$,27827,5000,1012
8901,Imperial Spherificator: Transforming Your Food Into Caviar,Product Design,Jul 22 2015,Aug 21 2015,30,"Montreal, Canada",CA$,191408,80000,1099
8902,Wash My Paws: Mobile Dog Grooming,Product Design,Nov 2 2019,Dec 9 2019,37,"Minnetonka, MN",$,10125,10000,83
8903,"Qubit Spinner & Bit Spinner, EDC Kinetic Metal Fidget Art",Product Design,May 20 2017,Jun 25 2017,36,"West Palm Beach, FL",$,4163,2000,56
8904,Aeroe BikePack - Bike Bag Revolution!,Product Design,May 31 2018,Jun 30 2018,29,"Nelson, NZ",NZ$,26937,12000,113
8905,"MARNAUT SEASCAPE: AN ORIGINAL TIMEPIECE, BUILT TO DIVE",Product Design,Dec 3 2019,Jan 24 2020,52,"Central, Hong Kong",HK$,355075,140000,159
8906,Oceanica Tambor 300M Automatic Dive watch - Everyday Diver!,Product Design,Feb 9 2020,Mar 10 2020,30,"New York, NY",$,27737,12500,135
8907,Solidteknics BIG 1pc wrought ferritic stainless nöni pans!<3,Design,Jul 6 2018,Jul 26 2018,20,"Buderim, AU",AU$,328637,20000,476
8908,Awful's Gas & Snack - A Fake Gas Station from the Year 2120,Interactive Design,Jul 10 2019,Aug 4 2019,25,"Oakland, CA",$,7078,6900,72
8909,"RISE ZUP: Inflatable, All-in-One, Boat or Beach Boards",Product Design,May 21 2018,Jun 20 2018,30,"Charleston, SC",$,8482,8000,57
8910,"Grill on the Go, the ultimate campfire grill",Product Design,Nov 21 2018,Dec 12 2018,21,"Tulsa, OK",$,1187,500,14
8911,Mark III Handmade Mechanical Pencil in time for Christmas!,Product Design,Nov 2 2017,Dec 3 2017,31,"London, UK",£,10396,250,183
8912,Puffy Kachula - A Cozy & Functional Blanket Ready for It All,Product Design,Nov 13 2017,Dec 28 2017,45,"Salt Lake City, UT",$,146259,25000,1298
8913,Oru Kayak Is Back For Good,Product Design,Jun 19 2017,Jul 19 2017,30,"San Francisco, CA",$,124689,50000,141
8914,Handmade Carbon Fiber Mechanical Pencil (Carbon Fibre),Product Design,May 23 2017,Jun 22 2017,30,"London, UK",£,5995,1500,103
8915,Grim Everyday Carry (EDC) Zipper Micro Tool System,Product Design,Oct 25 2017,Nov 29 2017,34,"Shady Shores, TX",$,15882,3250,326
8916,Goals Planner and Journals 2020 - a set of pocket notebooks,Product Design,Sep 11 2019,Oct 20 2019,38,"Bristol, UK",£,172,100,18
8917,"First Carbon Fiber Detangle, Lift & Pick Comb, for Men+Women",Product Design,Sep 3 2019,Oct 1 2019,28,"Chicago, IL",$,5873,5000,183
8918,Ti2 TechLiner Pen,Product Design,Mar 31 2014,May 11 2014,40,"Honolulu, HI",$,55673,5000,665
8919,ONDA Cycle,Product Design,Apr 15 2013,May 5 2013,20,"San Diego, CA",$,46704,15000,140
8920,Gear-A-Biner,Design,Mar 8 2013,Apr 17 2013,40,"South Jordan, UT",$,6288,2000,171
8921,HAVOK | Disruptive Luxury Timepieces at $89,Product Design,Jan 22 2019,Mar 23 2019,60,"San Francisco, CA",$,76506,10000,617
8922,AUTOMATIC WATCH - LIMITED EDITION HEITIS OKEANOS BRONZE,Product Design,Sep 18 2019,Oct 18 2019,30,"Buffalo, NY",$,34849,30000,112
8923,UFO Lamp--Light Up Your Universe,Product Design,Oct 24 2017,Nov 25 2017,32,"Hong Kong, Hong Kong",HK$,63069,60000,46
8924,T H E   B L A C K   W I D O W,Graphic Design,May 20 2019,Jun 22 2019,32,"Stillwater, OK",$,1286,750,41
